90
211,185,207,204
331,37,330,23
332,55,320,37
122
261,195,261,195
261,195,262,136
263,94,263,80
263,80,265,51
263,94,230,103
230,103,215,147
215,147,211,185
211,185,212,201
263,94,294,101
294,101,330,114
330,114,332,83
332,83,332,69
261,195,246,195
246,195,237,262
237,262,234,327
234,327,229,348
261,195,276,195
276,195,279,262
279,262,282,324
282,324,283,346
262,136,263,94
212,201,213,216
211,185,206,203
332,69,332,60
332,83,325,63
123
261,195,261,195
261,195,262,136
263,94,263,80
263,80,265,51
263,94,230,103
230,103,214,147
214,147,211,185
211,185,213,200
263,94,294,101
294,101,327,126
